date,living,food,house,walk
2001,10025,35.5,22.4,15.7
2002,10889,35.8,21.1,17.7
2003,11593,33.2,20.7,19.7
2004,12297,30.6,20.4,21.7
2005,13304,31.4,21.1,19.9
2006,14311,32.1,21.7,18
2007,14500,33,20.1,18.2
2008,15942,34.2,19.1,19.3
2009,16205,34.2,20.1,20.8
2010,16819,34.6,19.4,18.9
2011,17403,33.6,20.4,18.9
2012,18766,34.1,20,19.3
2013,19061,34.4,19.2,20
2014,20892,33.9,20,19.5
2015,21157,33.7,20.4,18.3
2016,21144,36.1,19.7,17.4
2017,21437,35.1,20.3,17.4
2018,21346,34.8,19.8,17.7
2019,20742,33.9,21,17.3
2020,21329,35.6,20.6,17.2
2021,21616,35.5,21.4,16
2022,22372,35.8,20.7,17.2
2023,23695,35.3,21.9,16
2024
2025
2026
2027
2028
2029
2030
